Entity,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cook Islands,14703,15053,15331,15594,15870,16151,16437,16695,16960,17283,17650,18035,18286,18423,18593,18789,19022,19338,19697,20086,20495,20872,20782,20202,19554,18883,18237,17894,17830,17753,17675,17582,17425,17204,16940,16677,16518,16577,16756,16942,17147,17333,17481,17583,17682,17758,17823,17606,17092,16523,15920,15320,15049,15100,15135,15168,15225,15533,16091,16658,17237,17795,18029,17940,17842,17720,17572,17417,17276,17133,17050,17028,17032
Costa Rica,948490,979751,1012955,1048064,1085106,1123989,1164566,1207062,1251612,1298059,1346310,1396142,1447045,1498651,1550664,1602742,1654623,1706067,1756339,1805970,1855704,1905492,1955556,2006254,2058249,2111855,2167549,2225629,2286209,2349262,2414306,2481345,2550786,2622540,2696205,2771467,2847855,2924597,3001463,3079008,3158257,3239419,3321943,3405376,3489158,3572855,3656235,3739425,3821428,3901431,3979189,4053223,4122628,4188609,4252803,4315894,4378170,4440023,4501921,4563131,4622250,4679927,4736593,4791541,4844293,4895241,4945205,4993849,5040738,5084527,5123107,5153959,5180836
Cote d'Ivoire,2736917,2814326,2893690,2976276,3062946,3154287,3251080,3353895,3463233,3580599,3708671,3848343,3998295,4156459,4321374,4492892,4671204,4856686,5050117,5255150,5477085,5718872,5979988,6257381,6548928,6853986,7142694,7415901,7700819,7996373,8303818,8621617,8948124,9282053,9621410,9964075,10309440,10663504,11043200,11462955,11910540,12369273,12838315,13316449,13802283,14299727,14810945,15335461,15858988,16345895,16799664,17245470,17683904,18116450,18544900,18970216,19394062,19817700,20244452,20677762,21120040,21562916,22010708,22469272,22995554,23596738,24213620,24848024,25493990,26147544,26811792,27478250,28160548
Croatia,3864694,3900326,3935779,3973454,4011875,4049662,4085637,4119361,4151532,4183289,4215334,4247853,4280076,4311044,4341052,4371387,4401777,4429806,4454147,4474894,4492641,4509278,4526430,4544138,4561866,4579433,4597197,4615728,4635779,4657519,4680144,4703986,4728727,4751896,4776375,4803331,4828686,4849966,4865827,4874189,4873705,4844526,4798318,4792409,4819431,4807100,4758624,4711373,4659937,4605329,4548438,4506760,4482874,4461141,4443351,4429687,4417562,4405542,4393666,4382142,4368680,4351838,4331592,4308854,4283968,4254821,4223748,4192468,4160488,4129749,4096872,4060139,4030361
Cuba,5926656,6047906,6170597,6296741,6426524,6559586,6695382,6833754,6974869,7119352,7267396,7418523,7574268,7736355,7902291,8067660,8230454,8390964,8550289,8709654,8869642,9025715,9169294,9297927,9413106,9514307,9600861,9672548,9729986,9774711,9809115,9848561,9908882,9984591,10065537,10149048,10235476,10326905,10425438,10527187,10626679,10713809,10783745,10840934,10887204,10926708,10963036,10998130,11033762,11070093,11105799,11139130,11170054,11199215,11225296,11246113,11260636,11269890,11276607,11283184,11290420,11298713,11309292,11321583,11332030,11339888,11342012,11336405,11328243,11316699,11300695,11256373,11212198
Curacao,100086,103474,106074,108799,111666,114672,117848,121207,124770,128522,131282,133121,135109,137103,139091,141059,143027,144966,146866,148683,150395,151979,153253,154107,154695,155163,155561,155928,156267,156580,156859,157038,157054,156974,156817,156648,156467,156270,156061,155781,155461,155033,154387,153396,152103,150604,148955,147160,145264,143262,141433,140643,141394,143121,145090,147275,149671,152135,154598,157018,159392,161681,163960,166148,168034,169588,170752,171543,184734,193119,189298,190348,191173
Cyprus,493969,501289,508981,517026,525406,534130,543259,552890,563159,574163,585727,594777,601109,607079,612349,617353,622575,627698,632456,636830,640804,644416,647632,650706,648594,644990,648876,656421,663977,671622,679336,687179,696237,707484,719687,731670,743451,755031,766417,777599,788501,799067,810435,825993,844452,862419,880064,897476,914667,931612,948238,964838,982202,1000355,1018688,1037070,1055445,1073875,1092402,1110979,1129693,1145090,1156556,1166972,1176997,1187286,1197889,1208527,1218834,1228840,1237540,1244193,1251492
Czechia,8916638,8996949,9076535,9151640,9220465,9288978,9357541,9418157,9468437,9506695,9539362,9570406,9594141,9623937,9664982,9702728,9731810,9754254,9770101,9782559,9795750,9816554,9851274,9900301,9960863,10025718,10088047,10144498,10195871,10241207,10270060,10283841,10293692,10298165,10299713,10302326,10302678,10302081,10304147,10304498,10301190,10303359,10310956,10318915,10321309,10311702,10295653,10279042,10263837,10249145,10234712,10230273,10238170,10248039,10261003,10280122,10304822,10337831,10378586,10421515,10464750,10496379,10511065,10514547,10517178,10523801,10527584,10531315,10534598,10536876,10530951,10510748,10493990
Democratic Republic of Congo,12295748,12545795,12807615,13074604,13349701,13638430,13939102,14252674,14569216,14903608,15276558,15673288,16086081,16517990,16965852,17438258,17941740,18472108,19022798,19583128,20151742,20712952,21273414,21853908,22448416,23052716,23655016,24256460,25015242,25902756,26708692,27457786,28219220,29005180,29879850,30800062,31725136,32712580,33750044,34825892,35987544,37194820,38332300,39580848,41511988,43285788,44118716,44822200,45895532,47227236,48616328,50106660,51662080,53205640,54815608,56550244,58381636,60289424,62249724,64270236,66391260,68654272,70997872,73460032,76035592,78656904,81430976,84283272,87087352,89906896,92853168,95894120,99010216
Denmark,4267702,4299583,4330760,4362493,4394327,4426513,4459563,4491048,4521333,4551440,4581730,4613437,4645997,4680814,4718021,4756336,4796410,4834734,4867744,4896156,4922968,4951490,4981082,5008581,5033574,5058203,5078773,5094605,5108931,5119417,5125397,5126983,5126402,5124341,5121317,5119453,5119368,5121515,5126107,5133937,5144626,5158325,5175466,5193776,5213801,5235205,5256002,5277385,5298991,5319856,5340662,5360753,5378700,5396355,5415583,5436314,5457863,5479722,5502752,5526455,5550850,5576016,5600955,5625393,5650654,5677795,5706856,5737286,5766689,5795879,5825638,5854246,5882259
Djibouti,62351,64334,66380,68509,70731,73010,75391,77865,80411,83041,85956,89284,93138,97682,102956,108788,114885,121177,127684,135404,144393,154236,165247,177334,191402,208591,229316,253092,278438,302869,324130,341325,355119,367734,382169,400717,424292,452286,482344,521114,577183,628528,623208,611239,623482,629628,644659,667793,694931,719381,742046,765496,789140,806412,818380,830863,846957,865202,882893,901106,919206,936819,954311,971761,989091,1006266,1023269,1040242,1057204,1073999,1090162,1105562,1120851
Dominica,50208,50384,50567,50834,51234,51918,52974,54337,55992,57839,59396,60416,61244,62051,62863,63756,64740,65781,66883,68025,68913,69446,69890,70352,70840,71319,71766,72161,72498,72788,73000,72949,72650,72290,71957,71613,71233,70824,70408,69996,69501,69170,69135,69196,69219,69224,69182,69096,68957,68713,68365,68171,68281,68457,68591,68686,68761,68789,68794,68805,68775,68758,68908,68839,69388,70027,70098,70422,70840,71446,72011,72435,72758
Dominican Republic,2381743,2455308,2532760,2614570,2700720,2791109,2885529,2983696,3085353,3190239,3298024,3408420,3521168,3635808,3752316,3868717,3987097,4108923,4230885,4352958,4475880,4599848,4724807,4851190,4978588,5106460,5235324,5365077,5495451,5625872,5755808,5885248,6014975,6147216,6282107,6417803,6554326,6692727,6834210,6980041,7129004,7278410,7427347,7576083,7723940,7869754,8012315,8150078,8282125,8411380,8540790,8669038,8795104,8919857,9043135,9164770,9284169,9402209,9522954,9648061,9775756,9903743,10030885,10157054,10282116,10405832,10527589,10647247,10765532,10881886,10999668,11117873,11228821
Ecuador,3518730,3613182,3710592,3811223,3915138,4022386,4133246,4248164,4367095,4490254,4618160,4751510,4890435,5034337,5183287,5337356,5495765,5658454,5825663,5997045,6172219,6350954,6533633,6720451,6911130,7105791,7304352,7506669,7712722,7922496,8135850,8352607,8572618,8795879,9022978,9254308,9490096,9729380,9969790,10210190,10449845,10686277,10914222,11132833,11347655,11561683,11775223,11987840,12199692,12412056,12626511,12845523,13070617,13301188,13534598,13770015,14009064,14251838,14496800,14742768,14989581,15237734,15483884,15722988,15957995,16195904,16439588,16696947,17015672,17343742,17588596,17797736,18001002
Egypt,21150060,21606364,22108170,22659266,23241220,23841704,24453502,25078382,25700976,26345770,27034500,27747872,28485028,29245942,30026652,30818472,31613136,32408416,33204632,33995960,34781992,35555972,36330772,37120780,37930376,38775584,39649056,40577356,41576640,42632456,43748552,44899572,46088652,47353672,48676444,50035844,51424316,52841316,54298448,55765848,57214632,58611032,59989148,61382204,62775844,64166908,65565196,66993732,68446008,69907888,71371368,72854256,74393760,75963328,77522424,79075312,80629664,82218760,83844784,85501064,87252416,89200056,91240384,93377896,95592328,97723792,99784032,101789384,103740768,105618672,107465128,109262184,110990096
El Salvador,2182419,2232154,2283112,2335947,2390860,2448639,2509194,2572512,2637605,2705559,2779332,2858899,2937826,3014882,3095173,3179515,3266444,3354614,3443257,3530960,3619097,3708015,3798110,3890643,3984052,4076754,4166894,4256703,4346535,4433043,4509000,4549183,4599905,4689685,4782222,4876757,4970790,5067205,5170444,5270833,5367182,5461074,5552210,5630994,5693040,5748201,5797142,5842637,5885085,5923862,5958482,5988102,6011278,6026854,6035653,6037817,6034439,6044130,6068108,6091181,6114039,6137354,6161293,6185641,6209528,6231072,6250513,6266661,6276340,6280222,6292734,6314165,6336393
Equatorial Guinea,226391,230178,233990,237858,241799,245814,249902,254068,258328,262732,267359,272270,277501,283026,288862,295019,301520,308386,315336,318852,316961,311969,305370,298058,290565,283272,276013,271384,270879,273938,282517,296959,315749,336756,358004,378386,397281,414778,431597,448434,465560,483153,501343,520247,540005,560744,582588,605579,629743,655039,684986,719283,754127,789690,826368,864740,905425,948820,994982,1043698,1094538,1144590,1193641,1243947,1295193,1346974,1398940,1450703,1502102,1553037,1596057,1634473,1674916
Eritrea,822581,834945,848454,863012,878545,895021,912418,930928,950595,971442,993569,1016934,1041559,1067303,1094053,1121749,1150266,1179563,1209608,1240570,1272748,1306239,1340840,1376523,1413223,1450870,1489659,1529800,1571195,1613834,1657983,1703797,1751049,1799819,1849598,1899246,1949620,2000360,2051549,2102135,2149967,2039225,1921162,1981424,2042501,2157227,2264083,2291571,2322761,2356488,2392888,2461930,2547428,2653393,2763143,2831735,2880094,2926172,3005783,3083900,3147733,3207574,3252600,3296370,3323429,3340005,3365288,3396933,3445380,3498819,3555869,3620324,3684041
Estonia,1102086,1116343,1130243,1143309,1155806,1168284,1179959,1190798,1199877,1207081,1218073,1233247,1248165,1262540,1277336,1292004,1305809,1319747,1334232,1348708,1362004,1374799,1387624,1399859,1412123,1424043,1435356,1447123,1458858,1468657,1476989,1485771,1495377,1505721,1516125,1525790,1536031,1547709,1559598,1568053,1570676,1565621,1540386,1504446,1475730,1452777,1434670,1421491,1411151,1403494,1396881,1388000,1379241,1370663,1362489,1354665,1346711,1340576,1337013,1334557,1331535,1327435,1322682,1317985,1314531,1314658,1315928,1317550,1322146,1327039,1329449,1328704,1326064
Eswatini,271656,278573,285572,292644,299814,307090,314451,321935,329545,337268,345074,352981,361081,369535,378542,388327,398869,409652,420382,431377,442874,454928,467518,480673,494633,509545,525462,542337,560243,579100,598568,616213,634449,655515,677313,702409,730156,758676,794440,825960,854020,889719,925170,953454,953745,953586,973593,990740,1005162,1018383,1030504,1041400,1050818,1058808,1065776,1071895,1077747,1084015,1089885,1094890,1099926,1105379,1111453,1118329,1125872,1133941,1142529,1151397,1160430,1169620,1180663,1192273,1201680
Ethiopia,17709958,18101148,18496798,18891918,19292152,19703746,20127944,20499420,20816576,21227214,21739718,22281678,22852164,23448974,24073698,24727512,25377652,26051598,26778656,27530396,28308246,29099600,29891330,30694322,31488614,32252786,33062222,33695020,34259072,34758824,34945472,35818844,37213396,38235184,39202892,40285960,41455312,42851960,44511536,46195952,47878076,49937436,52011560,53791672,55620212,57476540,59347656,61233480,63136492,65077584,67031872,69018936,71073224,73168848,75301024,77469944,79691056,81996184,84357104,86755584,89237800,91817936,94451280,97084376,99746768,102471896,105293232,108197944,111129440,114120592,117190920,120283024,123379928
Europe,550217528,555061176,560119239,565576038,571196738,576839468,582519126,588264855,594232829,600259337,606217567,612306138,618273685,623943385,629557545,634885240,639887369,644742383,649242974,653377711,657164251,661120687,665447565,669560034,673561825,677416160,681010388,684505423,687813865,690959643,694118828,697116693,699916913,702722575,705518653,708248300,711128857,714220717,717211203,719885860,722288309,724402333,726070329,727268334,727908035,728163229,728333991,728464341,728360684,728032049,727919596,727846044,727924375,728428191,729184823,729990437,730916003,732469869,734351485,736016704,737409380,738737660,740067017,741183688,742194046,743297647,744519366,745660845,746578519,747419066,747463478,746418539,744807803
Faeroe Islands,31682,31880,31968,32043,32091,32150,32362,32765,33229,33708,34178,34594,34985,35409,35859,36370,36849,37254,37658,38039,38440,38891,39330,39776,40213,40655,41077,41502,41992,42532,43081,43637,44191,44691,45164,45600,46037,46503,46984,47512,47505,46834,46035,45118,44160,43830,44163,44519,44890,45230,45684,46271,46837,47416,48008,48315,48338,48383,48438,48454,48432,48411,48410,48444,48494,48848,49523,50259,50978,51708,52440,52915,53117
Falkland Islands,2213,2231,2238,2235,2214,2208,2214,2227,2245,2264,2285,2312,2330,2329,2329,2329,2323,2314,2307,2304,2292,2295,2294,2296,2297,2300,2302,2298,2291,2277,2258,2252,2245,2246,2251,2251,2254,2279,2302,2328,2353,2397,2477,2566,2663,2758,2833,2903,2968,3037,3101,3148,3171,3187,3209,3223,3238,3235,3226,3221,3206,3196,3215,3286,3356,3431,3527,3619,3674,3729,3764,3786,3801
Fiji,308317,312854,318779,325977,334264,343704,354116,365295,377081,389328,401851,414547,427706,441394,455223,469021,482366,494644,505992,516965,527647,538010,547927,557250,566301,575817,586613,599300,613623,628866,644596,660640,676973,693598,710567,727466,742663,754784,764373,772713,780437,784838,786860,789209,790811,792247,796542,804575,813964,823432,832516,841324,849897,858306,866699,874929,883096,890655,896728,901390,905176,908359,911067,913467,915576,917209,918371,919022,919002,918472,920430,924615,929769
Finland,4008294,4047494,4090784,4139776,4187367,4235412,4282284,4324585,4360275,4395239,4430178,4461532,4492177,4524291,4549558,4564582,4581791,4607106,4627786,4624400,4606621,4612433,4639834,4666168,4690582,4711384,4725523,4738738,4752401,4764568,4779423,4799868,4826860,4855738,4881748,4902179,4918174,4932176,4946563,4964482,4986551,5013856,5042120,5066609,5088491,5107942,5124717,5139944,5153548,5165500,5176208,5188007,5200588,5212991,5228143,5246070,5266249,5288694,5313358,5338813,5363279,5388173,5413865,5438873,5461436,5479457,5495217,5508146,5515465,5521539,5529468,5535982,5540745
France,41842356,42196660,42542396,42883300,43225644,43593852,43959224,44338088,44754360,45201848,45659572,46143028,46635188,47121244,47641948,48168800,48683088,49181404,49647272,50087056,50523588,50970696,51410364,51814076,52163552,52450032,52685272,52925440,53175308,53428780,53713836,54016748,54319652,54592384,54845984,55108104,55371640,55641536,55911476,56169944,56412896,56645216,56864048,57053728,57230064,57420356,57623180,57839364,58080344,58352208,58665456,59014776,59372784,59728260,60108436,60510080,60919152,61329380,61721004,62093300,62444568,62775272,63071412,63335180,63588496,63809768,63989320,64144092,64277812,64399760,64480052,64531448,64626624
French Guiana,23420,23714,24026,24378,24783,25475,26478,27542,28672,29865,31143,32502,33965,35533,37198,38962,40776,42513,43980,45231,46502,47855,49265,50722,52354,54365,56692,59142,61653,64215,66849,69698,73149,77332,82008,86947,92122,97522,103135,108778,113948,118523,122937,127507,132274,137189,142241,147381,152661,158134,164367,171415,178744,186222,193709,201271,207885,213318,218525,223531,228469,233645,239255,245388,251379,257033,262825,269363,276659,284088,290978,297462,304568
French Polynesia,64548,66366,68193,70156,72260,74489,76857,78997,80895,82854,84864,86940,89225,91975,95208,98695,102301,106008,109844,113816,117907,122124,126469,130895,135364,139848,144370,149017,153758,158578,163605,168902,174360,179056,183156,187590,192213,196866,201758,206586,211108,215455,219633,223723,227692,231454,235200,239047,242892,246832,250939,255054,259142,263182,267135,271069,274908,278188,280566,282292,283795,285275,286591,288037,289880,291796,293552,295456,297615,299730,301935,304038,306292
Gabon,472913,475839,478905,482194,485704,489465,493536,497902,502655,507789,513346,519337,525762,532603,539839,547542,555755,564442,573621,584637,597192,609706,622298,635290,648926,663346,678673,694939,712142,730197,749079,768911,789591,811101,833417,856481,880344,905029,930473,956514,983039,1010005,1037451,1065396,1093612,1121961,1150602,1179817,1209839,1240778,1272941,1306593,1341696,1378406,1417115,1458362,1502540,1549774,1599988,1653549,1711117,1772508,1836711,1902230,1966858,2028524,2086210,2140225,2192013,2242788,2292583,2341185,2388997
Gambia,306793,314626,322836,331382,340247,349380,358757,368420,378457,388885,399656,410815,422322,434181,446384,458916,471761,485139,499164,513697,528741,544328,560562,577501,594918,612922,631898,651947,672985,695166,718597,742853,768275,795567,824805,855965,888988,923922,960847,999738,1040625,1083542,1127156,1168317,1205886,1242160,1279066,1317003,1356198,1396505,1437540,1479456,1522230,1566263,1612237,1660377,1711297,1764889,1820544,1878124,1937284,1998215,2061020,2124876,2189023,2253137,2317212,2381189,2444916,2508882,2574005,2639922,2705995
Georgia,3517266,3557573,3599593,3643532,3689453,3738237,3791736,3849924,3912809,3980076,4051494,4125757,4201158,4276896,4350041,4418594,4492699,4575005,4658103,4739870,4800427,4837339,4870399,4903553,4936543,4970321,5005133,5040805,5077053,5111671,5145847,5181896,5219542,5259449,5299790,5338865,5377678,5415391,5450142,5445485,5391635,5322103,5239325,5127512,4997912,4877682,4761277,4640033,4518407,4394505,4265175,4144485,4061127,4017826,3988861,3961183,3933866,3906476,3879701,3855203,3836834,3821667,3804358,3786025,3774232,3771135,3771112,3771904,3772323,3770814,3765912,3757984,3744385
Germany,70964104,70820040,70808376,70879448,71020736,71222632,71473272,71771632,72136480,72578952,73063696,73604352,74194424,74796216,75423248,76037464,76618720,77173552,77646128,78012488,78294592,78511408,78643560,78667472,78620536,78513512,78364216,78221280,78071552,77915728,77786696,77684488,77610424,77566064,77568576,77638808,77803352,78090896,78477528,78916440,79370192,79801984,80205024,80573496,80882120,81123264,81300864,81436096,81524384,81556968,81551680,81514568,81443424,81346808,81266672,81212168,81177816,81183832,81217488,81260624,81325088,81423384,81545568,81680592,81858824,82073232,82331432,82624368,82896696,83148144,83328992,83408560,83369840
Ghana,5077600,5220301,5373388,5535164,5706211,5887163,6077350,6275803,6479014,6690095,6911514,7109036,7281192,7458244,7640202,7827728,8019660,8216093,8418152,8629853,8861897,9108881,9365950,9637207,9918984,10209847,10509008,10825498,11163231,11515680,11865256,12212964,12584976,12984137,13342483,13651444,13971683,14310795,14671683,15052443,15446987,15843473,16241548,16643639,17040850,17438882,17844012,18268044,18714708,19176800,19665506,20195584,20758324,21329520,21906448,22496952,23098590,23708328,24326092,24950768,25574722,26205940,26858760,27525586,28196356,28870946,29554298,30222266,30870648,31522294,32180402,32833036,33475870
Gibraltar,21422,21111,21235,21340,21451,21563,21668,21741,21782,21812,21845,21926,22271,22816,23370,23934,24504,25072,25637,26187,26706,27090,27341,27584,27801,27997,28186,28362,28509,28644,28752,28840,28885,28877,28817,28701,28528,28296,28023,27713,27342,27013,26974,27143,27307,27433,27519,27586,27663,27723,27765,27746,27918,28320,28743,29179,29613,30021,30426,30844,31289,31725,32183,32437,32478,32546,32590,32628,32677,32715,32739,32698,32677
Greece,7669097,7766347,7863884,7959594,8052769,8146025,8234417,8313968,8385152,8447074,8495419,8526467,8540807,8541794,8534890,8526265,8520636,8518064,8518841,8526141,8544874,8576110,8616664,8666390,8729703,8805416,8890429,8983231,9084305,9194179,9307159,9418999,9528819,9636354,9740384,9840144,9936729,10029145,10120189,10211975,10302255,10391552,10478389,10563442,10647420,10727928,10803809,10875274,10939474,10993861,11038112,11072182,11096620,11110488,11115089,11113450,11106097,11091491,11073621,11055503,11033784,11004730,10963633,10914501,10862972,10806644,10749742,10692230,10633275,10574026,10512232,10445368,10384972
Greenland,23142,23622,24248,24887,25579,26322,27230,28331,29512,30788,32145,33458,34693,35940,37227,38555,39964,41389,42765,44125,45457,46503,47262,47987,48628,49172,49589,49762,49756,49780,50127,50739,51363,52002,52656,53239,53744,54270,54797,55321,55616,55675,55704,55729,55719,55807,55978,56092,56146,56129,56204,56401,56591,56748,56888,56909,56835,56728,56600,56461,56374,56310,56217,56116,55972,55916,55941,55951,55954,55955,56049,56266,56494
Grenada,77044,77452,78387,79575,81002,82679,84613,86794,89178,91702,93792,95119,96071,96900,97630,98240,98711,98995,99076,98996,98815,98557,98245,97902,97542,97187,96801,96347,95828,95259,94857,95239,96552,98192,99631,100594,100909,100616,99898,99238,99066,99778,101054,102190,103194,104075,104862,105563,106214,106841,107442,107945,108246,108750,109529,110268,111006,111740,112497,113260,114058,114933,115930,116954,117986,118994,119973,120934,121853,122737,123672,124624,125459
Guadeloupe,215273,218855,224494,230402,236452,242585,248935,255539,262410,269570,276984,283993,289968,294988,299339,303449,307415,311015,313995,316369,318322,319863,320969,321775,322840,324887,327623,330075,331893,333232,334237,335663,338969,344461,350988,357854,364863,371913,378995,385871,391961,396998,401452,405738,409893,413945,417904,421828,424991,425759,424068,421198,417628,413448,408632,403244,400934,401620,402099,402688,403073,403153,402988,402351,400856,399094,397861,397027,396273,395487,395649,396057,395762
Guam,61008,61938,62911,63908,64924,65993,67116,68321,69597,70961,72389,73889,75424,77008,78628,80264,81892,83494,85061,86549,88313,90522,92831,95120,97347,99489,101603,103691,105723,107803,110300,113233,116199,119082,121903,124691,127476,130272,133094,135771,138279,140749,143185,145551,147855,150107,152278,154342,156372,158406,160209,161542,162581,163405,164022,164448,164689,164775,164736,164593,164916,165662,166404,167067,167555,167996,168362,168619,168696,168632,169245,170546,171783
Guatemala,3099871,3185855,3276113,3368491,3462957,3560248,3660608,3764484,3870644,3981257,4098362,4220371,4346335,4475720,4608500,4744468,4882546,5022622,5164911,5308300,5453206,5598298,5744610,5895105,6048169,6201738,6342734,6487157,6648774,6814727,6987769,7165508,7332796,7512051,7718977,7932187,8148187,8369362,8600110,8839546,9084779,9329564,9576630,9831871,10094917,10363096,10632295,10905387,11184035,11463503,11735893,12009197,12289867,12570507,12852433,13132818,13412401,13696609,13979451,14259415,14543126,14833458,15128307,15422663,15713744,16001105,16291004,16578718,16850176,17106338,17362716,17608484,17843914
Guernsey,44443,44369,44217,44360,44559,44810,45115,45456,45835,46256,46726,47181,47621,48104,48653,49254,49897,50588,51307,52000,52677,53121,53227,53261,53290,53301,53289,53229,53135,53019,52884,52944,53278,53690,54131,54603,55115,55716,56362,57041,57746,58208,58308,58317,58311,58295,58367,58556,58753,58944,59137,59311,59468,59608,59738,59888,60046,60219,60404,60605,60811,61006,61221,61414,61564,61657,61612,61624,61908,62391,62823,63092,63329
Guinea,2983566,3032444,3081460,3131204,3181974,3234063,3287542,3342379,3398845,3456956,3516819,3578635,3642328,3707953,3775518,3845082,3916786,3990768,4067337,4145193,4222383,4298097,4372214,4445211,4517078,4588011,4658741,4730377,4804926,4885202,4972611,5067436,5170741,5282281,5402102,5531667,5671383,5820777,5977177,6136172,6354146,6615740,6832196,7046101,7262110,7468350,7683120,7842811,7992557,8174900,8336973,8445722,8577787,8772259,8961046,9140112,9330632,9547087,9779793,10021319,10270728,10527711,10788696,11055433,11333362,11626003,11930991,12240791,12554871,12877537,13205157,13531909,13859349
Guinea-Bissau,543421,549492,553619,557291,560619,563715,566667,569518,572323,575112,577942,583119,590408,595807,590490,577647,570383,573388,583485,587887,591665,594509,595955,603213,623578,659640,701025,746594,794333,821605,831469,844965,858639,872403,886217,900091,914138,928415,943086,958245,973557,993861,1022910,1056767,1089623,1117229,1140610,1162451,1184074,1206478,1230855,1257390,1285682,1315670,1347012,1379714,1414094,1450574,1488437,1527207,1567226,1609025,1652720,1697757,1743318,1788931,1834554,1879835,1924954,1970460,2015839,2060730,2105580
Guyana,417734,428410,440360,453477,467826,483327,499845,517283,535519,554201,571994,588614,604845,620709,635967,650215,663248,675072,685891,695928,705266,713911,721999,729873,737710,745593,753558,761388,768621,774490,778187,779698,779640,778377,776012,772680,768519,763716,758455,752908,747124,744102,744999,747196,749553,751702,753577,755215,756705,758021,759059,759816,760326,760569,760428,759713,758376,756528,754159,751265,747937,744235,743970,747424,751126,755043,759097,763265,785518,798761,797207,804571,808727
Haiti,3247240,3301803,3358721,3418649,3480980,3546005,3613976,3683632,3754882,3827753,3901147,3974940,4049509,4122264,4196353,4274354,4352962,4432721,4514010,4596648,4680817,4766425,4853118,4940713,5030663,5124563,5222352,5323835,5428673,5536428,5646680,5760199,5877684,5997741,6119933,6245542,6375104,6508351,6644968,6784163,6925335,7066064,7205779,7345942,7486096,7627320,7770602,7915177,8060901,8208943,8360224,8511728,8661546,8812248,8961495,9111901,9266293,9420832,9575251,9730646,9842883,9954318,10108541,10261205,10412741,10563762,10713845,10863546,11012427,11160441,11306804,11447575,11585003
High-income countries,669397963,676774552,684518924,692819154,701492294,710382120,719265066,728148307,737635313,747296445,756613763,766062145,775529446,784955820,794527190,803939083,812785800,821405210,829928109,838295343,847035032,856236764,865281941,873811230,882068516,889965424,897381759,904794975,912288970,919797067,927538869,935113193,942356988,949463548,956450952,963419473,970437010,977626715,985025837,992663898,1000128696,1007966262,1016302312,1024111317,1031535629,1038643992,1045645066,1052805303,1059873149,1066734633,1073716442,1080682831,1087599947,1094702298,1101994336,1109756320,1118325687,1127897627,1137726149,1146851619,1154843353,1162275154,1169663185,1176689524,1183328941,1189869736,1196437875,1202872536,1209044728,1214846354,1218093003,1219584303,1224121770
Honduras,1557940,1602234,1648145,1695869,1745351,1796536,1849402,1904021,1960498,2018746,2078624,2139932,2202865,2267717,2334493,2403468,2474533,2547504,2622991,2701384,2782756,2867507,2956027,3046721,3136544,3231637,3334817,3441121,3550374,3662745,3777994,3895738,4015648,4137786,4261929,4387696,4515574,4645740,4778119,4913683,5053235,5196892,5344774,5496843,5652937,5812836,5976553,6144117,6308539,6477370,6656727,6837861,7019912,7201883,7383408,7564615,7745204,7924462,8101776,8277309,8450936,8622510,8792370,8960654,9127851,9294510,9460798,9626845,9792854,9958832,10121762,10278346,10432858
Hong Kong,1980530,2075517,2173606,2275015,2380483,2490495,2606308,2728466,2855689,2985061,3114676,3231766,3331193,3424355,3514767,3602032,3684669,3762176,3834048,3898385,3955076,4028605,4128332,4234756,4342778,4451227,4558871,4664905,4768799,4872751,4978551,5077744,5166910,5252129,5333577,5411686,5492797,5578536,5665618,5752711,5838573,5923453,6007690,6089809,6168709,6243859,6333446,6441245,6546051,6641959,6731195,6801538,6848847,6886463,6915997,6936872,6960600,7001452,7050673,7094600,7132437,7175370,7234062,7296820,7352180,7399845,7435925,7461508,7481563,7496121,7500955,7494580,7488863
Hungary,9337718,9423047,9503843,9594226,9704531,9823339,9854134,9837654,9879817,9936025,9982618,10025842,10057460,10083331,10114177,10140858,10170086,10206829,10244346,10281127,10315367,10345368,10376619,10410508,10457951,10520241,10578511,10627916,10664861,10692722,10698682,10680617,10655628,10620933,10580910,10542756,10505773,10469197,10434269,10397176,10375989,10374750,10370067,10357423,10342435,10327171,10308272,10286223,10260965,10230263,10202054,10177955,10148404,10118060,10094499,10073533,10057063,10041171,10023508,10008581,9986832,9953247,9922133,9894637,9867906,9844250,9815106,9788940,9776361,9771799,9750571,9709784,9967304
Iceland,142666,145405,147760,150753,154269,157742,161070,164742,168486,172011,175583,179038,182425,185778,189102,192322,195540,198733,201483,203348,204483,206184,209199,212377,215291,218080,220256,221898,223646,225864,228276,230891,234003,237139,239680,241589,243367,246041,249920,253054,255026,257995,261275,263942,266230,267689,269140,271363,274292,277634,281469,285245,287799,289806,292364,297037,304086,311859,317722,318809,318346,319308,320988,324036,327650,331068,335677,343641,352951,360787,366682,370338,372903
