Entity,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,1385038,1424011,1465071,1508561,1554929,1604375,1657523,1714536,1774821,1838241,1904150,1971533,2039356,2106147,2171033,2234051,2295504,2355997,2416461,2476361,2534383,2590931,2648056,2706854,2767650,2830798,2896316,2965526,3038231,3097063,3135123,3167876,3202010,3238295,3272111,3300901,3327186,3351374,3366840,3448188,3556544,3617638,3574558,3457344,3373715,3322788,3298903,3271422,3240550,3206033,3168525,3133138,3105040,3084107,3065748,3047254,3026490,3004398,2983425,2964300,2946296,2928984,2914428,2901386,2889937,2878598,2865841,2851929,2836563,2820604,2805610,2790971,2780472
Aruba,38818,40258,41780,43324,44890,46481,48115,49770,51424,53064,54627,55827,56701,57493,58197,58804,59306,59542,59487,59347,59120,58832,58878,59387,60049,60728,61213,61490,61757,62025,62287,62634,63131,63692,64190,64493,64570,64463,64356,64617,65734,67879,70210,72374,74730,77070,79432,81872,84365,86877,89117,90702,91798,92713,93554,94495,95621,96797,98006,99223,100354,101304,102126,102891,103607,104269,104890,105454,105980,106458,106597,106543,106459
Asia,1378554727,1405143078,1434494047,1465867616,1498211442,1532368957,1566934853,1603074679,1639899539,1672174028,1698939691,1725304326,1760632925,1806724539,1854882565,1901594742,1948036863,1994226633,2042761361,2093665797,2144906508,2195423804,2245577141,2296593872,2346946783,2395376069,2442681709,2489872409,2536783728,2584916791,2635334410,2687793098,2742593626,2797881469,2853170213,2909856492,2968294733,3028624604,3089224548,3149702853,3210563750,3269054085,3324377494,3378235529,3431170953,3483316665,3534544077,3585198287,3635442850,3685232690,3735089775,3785215058,3834687401,3883310793,3931402529,3979329053,4027291741,4074998014,4122790915,4171339685,4220041467,4268479060,4317165429,4365286895,4412496398,4458250376,4502955714,4547095064,4588802751,4627738749,4663086623,4693332132,4721383370
Australia,8177169,8419836,8632790,8819163,9003364,9209844,9429808,9644190,9853146,10065683,10286648,10505940,10711943,10917377,11131608,11359442,11592675,11809114,12027268,12268351,12595038,12993837,13300319,13513318,13713392,13886865,14038078,14193365,14355814,14520529,14706329,14930055,15168446,15383079,15579478,15785685,16012299,16259251,16525901,16796586,17048002,17271092,17462500,17631514,17805506,18003002,18211850,18410254,18601666,18800892,19017968,19248146,19475842,19699004,19925060,20171732,20467032,20830832,21247876,21660898,22019166,22357032,22729272,23111788,23469578,23820240,24195706,24590336,24979228,25357168,25670052,25921094,26177410
Austria,6936443,6930432,6927017,6931796,6939644,6946266,6951744,6965322,6986795,7013602,7046554,7085440,7128972,7174878,7222897,7269892,7320920,7375632,7413813,7439324,7465310,7498548,7542083,7584024,7597028,7576929,7563509,7566357,7560248,7547482,7547564,7566318,7571291,7559110,7558564,7562114,7567247,7572379,7583766,7619393,7678732,7755640,7840816,7905280,7935366,7947293,7958043,7967086,7975856,7991382,8010425,8039633,8078994,8120105,8171215,8227034,8267771,8294720,8321134,8342939,8362829,8391201,8429641,8479542,8546066,8642422,8736491,8797497,8840518,8879939,8907780,8922086,8939617
Azerbaijan,3158966,3225286,3296855,3374179,3458190,3550019,3649876,3758024,3874680,3999401,4131486,4269888,4412326,4556656,4699755,4837814,4969086,5091825,5207417,5318382,5425315,5529214,5630355,5729066,5826988,5925014,6021460,6115755,6208637,6297217,6383063,6472533,6567528,6669009,6777233,6891144,7009132,7132688,7261150,7348876,7427840,7538266,7643343,7740112,7821889,7889335,7949107,8000068,8041100,8101447,8190341,8282030,8372128,8462335,8556168,8656243,8763353,8878408,8999697,9119630,9237203,9359018,9485577,9614478,9741879,9863485,9976254,10071569,10152524,10232761,10284952,10312992,10358078
Bahamas,81651,82915,84605,86752,89364,92458,96021,100016,104423,109247,114512,120227,126320,132655,138798,144862,151343,158210,165469,172761,179149,184447,189194,193577,197771,201900,206106,210540,215032,219437,223761,227971,232184,236595,241176,245945,250815,255626,260458,265505,270690,276072,281982,288172,294006,299567,304944,310183,315410,320282,325033,329639,334015,338505,343097,347815,352672,357678,362807,368064,373277,377956,382073,385660,389137,392707,395986,399027,401911,404563,406478,407920,409989
Bahrain,117160,120371,123695,127198,130908,134883,139184,143914,149092,154698,160702,166981,173370,179903,186604,193024,199029,204934,210815,216707,222567,231001,243159,256644,270637,285125,300046,315350,330930,346705,362600,377435,391031,404779,419228,434387,450202,466573,483343,500360,517429,535419,554480,573762,593259,612941,632763,652651,672484,692138,711446,730263,748332,778260,833454,901928,970986,1040545,1110352,1179460,1213655,1212086,1224948,1261683,1311142,1362157,1409668,1456844,1487346,1494195,1477478,1463266,1472237
Bangladesh,39728540,40548596,41426888,42329284,43282036,44315552,45407672,46560516,47742792,49004964,50396428,51882776,53461664,55094120,56774476,58500156,60265264,62104488,63995656,65866916,67541864,68376208,69346712,71144816,72947808,74700344,76380080,78137792,80007552,81908160,83929768,86154832,88555344,91045480,93534248,95959104,98271752,100490256,102688832,104893672,107147656,109242832,111272104,113418760,115614904,117793336,119876872,122039232,124350472,126754824,129193336,131670488,134139824,136503216,138789728,140912592,142628832,144135936,145421328,146706816,148391136,150211008,152090656,154030144,155961312,157830000,159784576,161793968,163683952,165516224,167420944,169356240,171186368
Barbados,210556,215438,219481,222736,225315,227330,228628,229474,230355,231418,232560,233702,234839,235884,236840,237698,238497,239253,239921,240598,241402,242357,243468,244650,245861,247096,248363,249669,251019,252340,253582,254695,255654,256516,257291,257917,258377,258668,258771,258767,258871,259414,260226,261001,261720,262309,262808,263234,263647,264181,264663,265384,266467,267509,268514,269489,270436,271460,272647,273801,274717,275501,276207,276873,277501,278095,278660,279199,279702,280193,280704,281204,281646
